F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION
510050.SH,20180807,2.52700000,3.46300000,3.76445767,0,0.3980
510050.SH,20180808,2.49500000,3.42500000,3.71678745,0,0.3980
510050.SH,20180809,2.55400000,3.49500000,3.80467942,0,0.3980
510050.SH,20180810,2.55300000,3.49400000,3.80318973,0,0.3980
510050.SH,20180813,2.52800000,3.46400000,3.76594737,0,0.3980
510050.SH,20180814,2.51800000,3.45200000,3.75105042,0,0.3980
510050.SH,20180815,2.45700000,3.38000000,3.66017907,0,0.3980
510050.SH,20180816,2.45300000,3.37500000,3.65422029,0,0.3980
510050.SH,20180817,2.42200000,3.33800000,3.60803976,0,0.3980
510050.SH,20180820,2.45700000,3.38000000,3.66017907,0,0.3980
510050.SH,20180821,2.50100000,3.43200000,3.72572562,0,0.3980
510050.SH,20180822,2.49900000,3.43000000,3.72274623,0,0.3980
510050.SH,20180823,2.51000000,3.44300000,3.73913287,0,0.3980
510050.SH,20180824,2.52200000,3.45700000,3.75700920,0,0.3980
510050.SH,20180827,2.57300000,3.51700000,3.83298361,0,0.3980
510050.SH,20180828,2.56200000,3.50400000,3.81659698,0,0.3980
510050.SH,20180829,2.55400000,3.49500000,3.80467942,0,0.3980
510050.SH,20180830,2.52900000,3.46500000,3.76743706,0,0.3980
510050.SH,20180831,2.52400000,3.45900000,3.75998859,0,0.3980
510050.SH,20180903,2.51500000,3.44900000,3.74658134,0,0.3980
510050.SH,20180904,2.55000000,3.49000000,3.79872064,0,0.3980
510050.SH,20180905,2.49000000,3.41900000,3.70933898,0,0.3980
510050.SH,20180906,2.46800000,3.39300000,3.67656571,0,0.3980
510050.SH,20180907,2.49000000,3.41900000,3.70933898,0,0.3980
510050.SH,20180910,2.46500000,3.38900000,3.67209662,0,0.3980
510050.SH,20180911,2.45000000,3.37200000,3.64975121,0,0.3980
510050.SH,20180912,2.43300000,3.35100000,3.62442640,0,0.3980
510050.SH,20180913,2.46800000,3.39300000,3.67656571,0,0.3980
510050.SH,20180914,2.47800000,3.40500000,3.69146265,0,0.3980
510050.SH,20180917,2.45200000,3.37400000,3.65273060,0,0.3980
510050.SH,20180918,2.51200000,3.44500000,3.74211226,0,0.3980
510050.SH,20180919,2.54100000,3.47900000,3.78531339,0,0.3980
510050.SH,20180920,2.54100000,3.47900000,3.78531339,0,0.3980
510050.SH,20180921,2.62900000,3.58300000,3.91640650,0,0.3980
510050.SH,20180925,2.60200000,3.55200000,3.87618475,0,0.3980
510050.SH,20180926,2.63800000,3.59400000,3.92981375,0,0.3980
510050.SH,20180927,2.63000000,3.58500000,3.91789619,0,0.3980
510050.SH,20180928,2.66200000,3.62300000,3.96556641,0,0.3980
510050.SH,20180930,2.66200000,3.62300000,3.96556641,0,0.3980
510050.SH,20181008,2.53900000,3.47700000,3.78233401,0,0.3980
510050.SH,20181009,2.54400000,3.48300000,3.78978248,0,0.3980
510050.SH,20181010,2.54700000,3.48600000,3.79425156,0,0.3980
510050.SH,20181011,2.44100000,3.36100000,3.63634396,0,0.3980
510050.SH,20181012,2.49600000,3.42600000,3.71827715,0,0.3980
510050.SH,20181015,2.46400000,3.38800000,3.67060693,0,0.3980
510050.SH,20181016,2.46700000,3.39200000,3.67507601,0,0.3980
510050.SH,20181017,2.48000000,3.40700000,3.69444204,0,0.3980
510050.SH,20181018,2.41900000,3.33500000,3.60357068,0,0.3980
510050.SH,20181019,2.49800000,3.42800000,3.72125654,0,0.3980
510050.SH,20181022,2.59300000,3.54100000,3.86277750,0,0.3980
510050.SH,20181023,2.51600000,3.45000000,3.74807103,0,0.3980
510050.SH,20181024,2.52800000,3.46400000,3.76594737,0,0.3980
510050.SH,20181025,2.53600000,3.47300000,3.77786492,0,0.3980
510050.SH,20181026,2.51900000,3.45300000,3.75254012,0,0.3980
510050.SH,20181029,2.43800000,3.35700000,3.63187487,0,0.3980
510050.SH,20181030,2.46400000,3.38800000,3.67060693,0,0.3980
510050.SH,20181031,2.50100000,3.43200000,3.72572562,0,0.3980
510050.SH,20181101,2.51000000,3.44300000,3.73913287,0,0.3980
510050.SH,20181102,2.59300000,3.54100000,3.86277750,0,0.3980
510050.SH,20181105,2.56100000,3.50300000,3.81510728,0,0.3980
