TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,chinaoptionindexeodprices,5,CRNCY_CODE,varchar(10),YES,,
financedata,chinaoptionindexeodprices,6,S_DQ_PRECLOSE,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,7,S_DQ_OPEN,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,8,S_DQ_HIGH,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,9,S_DQ_LOW,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,10,S_DQ_CLOSE,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,11,S_DQ_CHANGE,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,12,S_DQ_PCTCHANGE,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,13,S_DQ_VOLUME,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,14,S_DQ_AMOUNT,"decimal(20,4)",YES,,
financedata,chinaoptionindexeodprices,15,SEC_ID,varchar(10),YES,,
financedata,chinaoptionindexeodprices,16,OPDATE,date,YES,MUL,
financedata,chinaoptionindexeodprices,17,OPMODE,varchar(1),YES,,
financedata,chinaoptionvaluation,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaoptionvaluation,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaoptionvaluation,3,TRADE_DT,varchar(8),YES,MUL,
financedata,chinaoptionvaluation,4,W_ANAL_UNDERLYINGIMPLIEDVOL,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,5,W_ANAL_DELTA,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,6,W_ANAL_THETA,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,7,W_ANAL_GAMMA,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,8,W_ANAL_VEGA,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,9,W_ANAL_RHO,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,10,SURGED_LIMIT,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,11,DECLINE_LIMIT,"decimal(24,8)",YES,,
financedata,chinaoptionvaluation,12,OPDATE,date,YES,MUL,
financedata,chinaoptionvaluation,13,OPMODE,varchar(1),YES,,
financedata,coptioncontprochange,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,coptioncontprochange,2,CONTRACT_ID,varchar(40),YES,,
financedata,coptioncontprochange,3,ITEM,varchar(50),YES,,
financedata,coptioncontprochange,4,CHANGE_DT,varchar(8),YES,,
financedata,coptioncontprochange,5,S_INFO_OLD,varchar(1000),YES,,
financedata,coptioncontprochange,6,S_INFO_NEW,varchar(1000),YES,,
financedata,coptioncontprochange,7,OPDATE,date,YES,MUL,
financedata,coptioncontprochange,8,OPMODE,varchar(1),YES,,
financedata,coptiondescriptionchange,1,OBJECT_ID,varchar(38),NO,PRI,
